"國語注音符號第一式","威妥瑪拼音","國語注音符號第二式","耶魯拼音","法國遠東學院拼音","德國式拼音","華語通用拼音","漢語拼音方案","國語羅馬字:第一聲","第二聲","第三聲","第四聲"
"ㄍㄡ","kou","gou","gou","keou","gou","gou","gou","gou","gour","goou","gow"
"ㄎㄡ","k'ou","kou","kou","k'eou","kou","kou","kou","kou","kour","koou","kow"
"ㄍㄨ","ku","gu","gu","kou","gu","gu","gu","gu","gwu","guu","guh"
"ㄎㄨ","k'u","ku","ku","k'ou","gu","ku","ku","ku","kwu","kuu","kuh"
"ㄍㄨㄚ","kua","gua","gwa","koua","gua","gua","gua","gua","gwa","goa","guah"
"ㄎㄨㄚ","k'ua","kua","kwa","k'oua","kua","kua","kua","kua","kwa","koa","kuah"
"ㄍㄨㄞ","kuai","guai","gwai","kouai","guai","guai","guai","guai","gwai","goai","guay"
"ㄎㄨㄞ","k'uai","kuai","kwai","k'ouai","kuai","kuai","kuai","kuai","kwai","koai","kuay"
"ㄍㄨㄢ","kuan","guan","gwan","kouan","guan","guan","guan","guan","gwan","goan","guann"
"ㄎㄨㄢ","k'uan","kuan","kwan","k'ouan","kuan","kuan","kuan","kuan","kwan","koan","kuann"
"ㄍㄨㄤ","kuang","guang","gwang","kouang","guang","guang","guang","guang","gwang","goang","guanq"
